anchor_id,sku,sku_normalized,registry_match_type,registry_status,row,column,cell_id,bbox,column_role,orientation,confidence
sku_000001,GW 62 001 FH,GW62001FH,exact_normalized,confirmed,2,1,r0002c001,"[42.52000045776367, 154.73822021484375, 95.49500021849863, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000002,GW 62 001 H,GW62001H,exact_normalized,confirmed,2,2,r0002c002,"[95.49500021849863, 154.73822021484375, 148.47013810364126, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000003,GW 62 023 FH,GW62023FH,exact_normalized,confirmed,2,3,r0002c003,"[148.47013810364126, 154.73822021484375, 201.44556756555681, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000004,GW 62 023 H,GW62023H,exact_normalized,confirmed,2,4,r0002c004,"[201.44556756555681, 154.73822021484375, 254.42103184036344, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000005,GW 62 201 FH,GW62201FH,exact_normalized,confirmed,2,5,r0002c005,"[254.42103184036344, 154.73822021484375, 307.39612990159253, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000006,GW 62 201 H,GW62201H,exact_normalized,confirmed,2,6,r0002c006,"[307.39612990159253, 154.73822021484375, 360.3716057671441, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000007,GW 62 224 FH,GW62224FH,exact_normalized,confirmed,2,7,r0002c007,"[360.3716057671441, 154.73822021484375, 413.3470361472587, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000008,GW 62 224 H,GW62224H,exact_normalized,confirmed,2,8,r0002c008,"[413.3470361472587, 154.73822021484375, 466.322172416273, 163.80912272135416]",sku_column,multiple_codes_in_row,1.0
sku_000009,GW 62 002 FH,GW62002FH,exact_normalized,confirmed,3,1,r0003c001,"[42.52000045776367, 163.80912272135416, 95.49500021849863, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000010,GW 62 002 H,GW62002H,exact_normalized,confirmed,3,2,r0003c002,"[95.49500021849863, 163.80912272135416, 148.47013810364126, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000011,GW 62 024 FH,GW62024FH,exact_normalized,confirmed,3,3,r0003c003,"[148.47013810364126, 163.80912272135416, 201.44556756555681, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000012,GW 62 024 H,GW62024H,exact_normalized,confirmed,3,4,r0003c004,"[201.44556756555681, 163.80912272135416, 254.42103184036344, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000013,GW 62 202 FH,GW62202FH,exact_normalized,confirmed,3,5,r0003c005,"[254.42103184036344, 163.80912272135416, 307.39612990159253, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000014,GW 62 202 H,GW62202H,exact_normalized,confirmed,3,6,r0003c006,"[307.39612990159253, 163.80912272135416, 360.3716057671441, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000015,GW 62 225 FH,GW62225FH,exact_normalized,confirmed,3,7,r0003c007,"[360.3716057671441, 163.80912272135416, 413.3470361472587, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
sku_000016,GW 62 225 H,GW62225H,exact_normalized,confirmed,3,8,r0003c008,"[413.3470361472587, 163.80912272135416, 466.322172416273, 172.88006591796875]",sku_column,multiple_codes_in_row,1.0
