Rated | current | (In),Rated | Voltage | (Un),Frequency,Poles,Reference h,Straight plugs | IP44/IP54 | Fast wiring,Straight plugs | IP44/IP54 | Screw wiring,Straight plugs | IP66/IP67/IP68/IP69 | Fast wiring,Straight plugs | IP66/IP67/IP68/IP69 | Screw wiring
32 A,> 50 V,100 ÷ 300 Hz,2P+E,10,,GW 60 721 H,,GW 60 755 H
32 A,> 50 V,100 ÷ 300 Hz,3P+E,10,,GW 60 722 H,,GW 60 756 H
32 A,> 50 V,100 ÷ 300 Hz,3P+N+E,10,,GW 60 723 H,,GW 60 757 H
32 A,> 50 V,> 300 ÷ 500 Hz,2P+E,2,,GW 60 724 H,,GW 60 758 H
32 A,> 50 V,> 300 ÷ 500 Hz,3P+E,2,,GW 60 725 H,,GW 60 759 H
32 A,> 50 V,> 300 ÷ 500 Hz,3P+N+E,2,,GW 60 726 H,,GW 60 760 H
32 A,440 ÷ 460 V,60 Hz,3P+E,11,,GW 60 727 H,,GW 60 761 H
32 A,440 ÷ 460 V,60 Hz,3P+N+E,11,,GW 60 728 H,,GW 60 762 H
32 A,380 V / 440 V,50 Hz / 60 Hz,3P+E,3,,GW 60 729 H,,GW 60 145 H
32 A,380 V / 440 V,50 Hz / 60 Hz,3P+N+E,3,,GW 60 730 H,,GW 60 763 H
32 A,transf.,50/60 Hz,2P+E,12,,GW 60 731 H,,GW 60 764 H
32 A,transf.,50/60 Hz,3P+E,12,,GW 60 732 H,,GW 60 765 H
32 A,> 50 ÷ 250V,dc,2P+E,3,,GW 60 733 H,,GW 60 766 H
32 A,> 250V,dc,2P+E,8,,GW 60 734 H,,GW 60 767 H
